"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-01",,,,,"23.1","H,,S","28.5",",,S","19.2",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-02",,,,,"22.3","H,,S","26.2",",,S","18.6",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-03",,,,,"23.9","H,,S",,,"20.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-04",,,,,"24.9","H,,S",,,"21.6",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-05",,,,,"26.0","H,,S",,,"21.1",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-06",,,,,"23.7","H,,S","30.3",",,S","19.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-07",,,,,"23.8","H,,S",,,"17.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-08",,,,,"26.9","H,,S",,,"21.5",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-09",,,,,"27.7","H,,S","32.8",",,S","23.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-10",,,,,"26.8","H,,S",,,"22.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-11",,,,,"25.5","H,,S","32.5",",,S","19.0",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-12",,,,,"26.4","H,,S","31.8",",,S","21.6",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-13",,,,,"24.6","H,,S","30.3",",,S","20.8",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-14",,,,,"25.2","H,,S",,,,
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-15",,,,,"25.1","H,,S","29.5",",,S","21.5",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-16",,,,,"20.7","H,,S","28.3",",,S","13.6",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-17",,,,,"21.6","H,,S","26.4",",,S","16.8",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-18",,,,,"25.0","H,,S",,,"21.5",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-19",,,,,"27.7","H,,S",,,"23.5",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-20",,,,,"29.4","H,,S",,,"24.7",",,S"
"AR000875850","BUENOS AIRES OBSERV, AR","-34.583","-58.483","25.0","2020-01-21",,,,,"26.3","H,,S","34.4",",,S","22.5",",,S"
